,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
26,nxm,nxm,Nexus Mutual,https://assets.coingecko.com/coins/images/11810/large/nexus-mutual.jpg?1594547726,90.55,626366260,118,626366260.0,77287.0,96.59,90.41,-6.046625118715,-6.25977,-43013953.54434657,-6.42594,6886554.27408166,6886554.27408166,6886554.27408166,185.97,-51.09253,2021-11-10T15:14:14.418Z,6.96,1206.27899,2020-07-22T19:54:06.406Z,,2022-03-04T15:13:58.942Z
27,sushi,sushi,Sushi,https://assets.coingecko.com/coins/images/12271/large/512x512_Logo_no_chop.png?1606986688,3.18,616547693,121,799509923.0,102541061.0,3.34,3.18,-0.153480587939,-4.59891,-31512508.57832384,-4.86259,192789255.8554817,240730901.718643,250000000.0,23.38,-86.31938,2021-03-13T23:44:36.774Z,0.475381,572.73256,2020-11-04T14:53:53.560Z,,2022-03-04T15:14:38.071Z
28,renbtc,renbtc,renBTC,https://assets.coingecko.com/coins/images/11370/large/Bitcoin.jpg?1628072791,40861.0,608886952,122,608886952.0,24893535.0,43209.0,40823.0,-2347.954166363889,-5.43394,-37332002.79886699,-5.77699,14771.94062269,14771.94062269,14771.94062269,68977.0,-40.33219,2021-11-10T14:26:20.068Z,8877.48,363.6134,2020-06-27T19:54:44.712Z,,2022-03-04T15:14:40.566Z
29,bancor,bnt,Bancor Network Token,https://assets.coingecko.com/coins/images/736/large/bancor-bnt.png?1628822309,2.29,602390679,124,602390679.0,19785744.0,2.41,2.29,-0.121901196526,-5.05711,-30491132.246831894,-4.81782,261690904.801533,261690904.801533,261690904.801533,10.72,-78.56124,2018-01-09T00:00:00.000Z,0.120935,1799.57619,2020-03-13T02:29:21.245Z,,2022-03-04T15:14:34.126Z
30,gnosis,gno,Gnosis,https://assets.coingecko.com/coins/images/662/large/logo_square_simple_300px.png?1609402668,317.96,595673475,126,3193913411.0,3632552.0,341.52,318.1,-23.343160014616,-6.83939,-44303219.637333035,-6.92263,1865027.0012636958,10000000.0,10000000.0,644.2,-50.55449,2021-11-08T17:33:29.302Z,6.88,4527.02679,2020-03-13T02:24:11.825Z,,2022-03-04T15:14:49.407Z
31,1inch,1inch,1inch,https://assets.coingecko.com/coins/images/13469/large/1inch-token.png?1608803028,1.39,583122119,129,2103802819.0,68717990.0,1.46,1.39,-0.067582337154,-4.62361,-27869045.768952608,-4.56128,415762907.95978,1500000000.0,1500000000.0,8.65,-83.84311,2021-10-27T08:24:54.808Z,0.767785,82.06059,2020-12-29T16:38:53.144Z,,2022-03-04T15:14:56.008Z
32,fei-usd,fei,Fei USD,https://assets.coingecko.com/coins/images/14570/large/ZqsF51Re_400x400.png?1617082206,0.999493,564006167,134,564369236.0,12393608.0,1.009,0.971442,0.0237356,2.43253,19379836.0,3.55837,559062543.9631197,559422431.025182,559422431.025182,1.11,-8.95361,2021-05-19T17:09:49.508Z,0.669435,50.70063,2021-04-18T03:44:09.238Z,,2022-03-04T15:14:55.378Z
33,kava,kava,Kava,https://assets.coingecko.com/coins/images/9761/large/kava.jpg?1639703080,3.39,525554255,141,,38904016.0,3.45,3.21,-0.062330142547,-1.80561,-14718165.109858334,-2.72421,155467571.0,162913558.0,,9.12,-62.93433,2021-08-30T11:10:02.948Z,0.287137,1077.3052,2020-03-13T02:24:16.835Z,,2022-03-04T15:14:30.159Z
34,neutrino,usdn,Neutrino USD,https://assets.coingecko.com/coins/images/10117/large/78GWcZu.png?1600845716,0.983076,511715614,144,,12354569.0,1.001,0.97377,-0.002450924063,-0.24869,18542784.0,3.7599,517318552.981814,517317854.904285,,2.52,-60.75904,2021-03-17T18:34:56.998Z,0.793625,24.63941,2020-03-13T03:39:36.364Z,,2022-03-04T15:14:40.555Z
35,liquity-usd,lusd,Liquity USD,https://assets.coingecko.com/coins/images/14666/large/Group_3.png?1617631327,1.007,484633883,149,,5937918.0,1.012,1.002,0.00057425,0.05707,2600095.0,0.5394,478934518.439603,478934518.439603,,1.16,-12.64108,2021-04-05T14:47:52.665Z,0.896722,12.84431,2022-01-27T09:42:06.510Z,,2022-03-04T15:14:41.218Z
