coin,market_cap_percentage,timestamp,date,time
bnb,3.349131979719143,2022-03-01 06:22:50,2022-03-01,06:22:50
usdc,2.69286050266232,2022-03-01 06:22:50,2022-03-01,06:22:50
xrp,1.8597353695879564,2022-03-01 06:22:50,2022-03-01,06:22:50
luna,1.6659921125294137,2022-03-01 06:22:50,2022-03-01,06:22:50
ada,1.5478066553999714,2022-03-01 06:22:50,2022-03-01,06:22:50
sol,1.5467229096706276,2022-03-01 06:22:50,2022-03-01,06:22:50
avax,1.0726733339553949,2022-03-01 06:22:50,2022-03-01,06:22:50
btc,41.28050705593524,2022-03-01 06:32:52,2022-03-01,06:32:52
eth,17.512381392524443,2022-03-01 06:32:52,2022-03-01,06:32:52
usdt,4.007770915225263,2022-03-01 06:32:52,2022-03-01,06:32:52
bnb,3.3537433166747648,2022-03-01 06:32:52,2022-03-01,06:32:52
usdc,2.6872851254232835,2022-03-01 06:32:52,2022-03-01,06:32:52
xrp,1.859135823073556,2022-03-01 06:32:52,2022-03-01,06:32:52
luna,1.667050819850106,2022-03-01 06:32:52,2022-03-01,06:32:52
ada,1.550259932585625,2022-03-01 06:32:52,2022-03-01,06:32:52
sol,1.5494051254333734,2022-03-01 06:32:52,2022-03-01,06:32:52
avax,1.0727230051979817,2022-03-01 06:32:52,2022-03-01,06:32:52
btc,41.26355927300192,2022-03-01 06:52:57,2022-03-01,06:52:57
eth,17.509395171579868,2022-03-01 06:52:57,2022-03-01,06:52:57
usdt,3.995945244209437,2022-03-01 06:52:57,2022-03-01,06:52:57
bnb,3.385875021794212,2022-03-01 06:52:57,2022-03-01,06:52:57
usdc,2.6856613354298853,2022-03-01 06:52:57,2022-03-01,06:52:57
xrp,1.8625896760583884,2022-03-01 06:52:57,2022-03-01,06:52:57
luna,1.6615568833425651,2022-03-01 06:52:57,2022-03-01,06:52:57
ada,1.5526888903559386,2022-03-01 06:52:57,2022-03-01,06:52:57
sol,1.5512994760150849,2022-03-01 06:52:57,2022-03-01,06:52:57
avax,1.074127200014312,2022-03-01 06:52:57,2022-03-01,06:52:57
btc,41.26607477046716,2022-03-01 07:03:00,2022-03-01,07:03:00
eth,17.507115321041702,2022-03-01 07:03:00,2022-03-01,07:03:00
usdt,3.9872725169270913,2022-03-01 07:03:00,2022-03-01,07:03:00
bnb,3.4018045576424414,2022-03-01 07:03:00,2022-03-01,07:03:00
usdc,2.679600653910144,2022-03-01 07:03:00,2022-03-01,07:03:00
xrp,1.8633381938769555,2022-03-01 07:03:00,2022-03-01,07:03:00
luna,1.6641935738400893,2022-03-01 07:03:00,2022-03-01,07:03:00
ada,1.5532653385302189,2022-03-01 07:03:00,2022-03-01,07:03:00
sol,1.551478412417758,2022-03-01 07:03:00,2022-03-01,07:03:00
avax,1.0697846242921012,2022-03-01 07:03:00,2022-03-01,07:03:00
btc,41.26051557955775,2022-03-01 07:13:05,2022-03-01,07:13:05
eth,17.497086426100875,2022-03-01 07:13:05,2022-03-01,07:13:05
usdt,3.983505239344523,2022-03-01 07:13:05,2022-03-01,07:13:05
bnb,3.428318539603101,2022-03-01 07:13:05,2022-03-01,07:13:05
usdc,2.67628441031216,2022-03-01 07:13:05,2022-03-01,07:13:05
xrp,1.8570889074133945,2022-03-01 07:13:05,2022-03-01,07:13:05
luna,1.663598657701176,2022-03-01 07:13:05,2022-03-01,07:13:05
ada,1.5542242920967886,2022-03-01 07:13:05,2022-03-01,07:13:05
sol,1.549212136692902,2022-03-01 07:13:05,2022-03-01,07:13:05
avax,1.069426143549994,2022-03-01 07:13:05,2022-03-01,07:13:05
btc,41.22548370628172,2022-03-01 07:33:12,2022-03-01,07:33:12
eth,17.509463656194814,2022-03-01 07:33:12,2022-03-01,07:33:12
usdt,3.977041546153713,2022-03-01 07:33:12,2022-03-01,07:33:12
bnb,3.456103329325745,2022-03-01 07:33:12,2022-03-01,07:33:12
usdc,2.6758788821687527,2022-03-01 07:33:12,2022-03-01,07:33:12
xrp,1.856534336161396,2022-03-01 07:33:12,2022-03-01,07:33:12
luna,1.667890538751261,2022-03-01 07:33:12,2022-03-01,07:33:12
ada,1.5513912389105176,2022-03-01 07:33:12,2022-03-01,07:33:12
sol,1.5503750199583988,2022-03-01 07:33:12,2022-03-01,07:33:12
